Name,Location_x,MinPrice,MaxPrice,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,CP,Adresse,Award2,CLASSEMENT,NOM COMMERCIAL,ADRESSE,Location_y,TELEPHONE,COURRIEL,SITE INTERNET,CAPACITE D'ACCUEIL (PERSONNES),NOMBRE DE CHAMBRES,coordonnees,Nom du département,Nom de la région,CLASSEMENT2,tarif_hotel
Le Pré Catelan,Paris,150,330,"Creative, Modern Cuisine",2.2507182,48.8639374,33144144114.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/le-pre-catelan,https://www.leprecatelan.com/,3 MICHELIN Stars,75016,Route de Suresnes - bois de Boulogne,3.0,3 étoiles,HÔTEL LONGCHAMP ÉLYSÉES,68 RUE DE LONGCHAMP,Paris,0144342414,info@hotel-longchamp.com,http://www.hotel-longchamp.com,44.0,19.0,"48.865251,2.285654",PARIS,ILE-DE-FRANCE,3,260
Alléno Paris au Pavillon Ledoyen,Paris,280,395,Creative,2.3164993,48.8660932,33153051000.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/alleno-paris-au-pavillon-ledoyen,https://www.yannick-alleno.com,3 MICHELIN Stars,75008,8 avenue Dutuit,3.0,3 étoiles,HÔTEL ALISON,21 rue de Surène,Paris,0142655400,hotel.alison@orange.fr,http://www.hotelalison.com,60.0,34.0,"48.871041,2.320259",PARIS,ILE-DE-FRANCE,3,296
Arpège,Paris,185,460,Creative,2.3169648,48.855731,33147050906.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/arpege,https://www.alain-passard.com/,3 MICHELIN Stars,75007,84 rue de Varenne,3.0,4 étoiles,HÔTEL DUC DE SAINT SIMON,14 RUE DE SAINT SIMON,Paris,0144392020,hotelsaintsimon@wanadoo.fr,http://hotelducdesaintsimon.com/fr/,72.0,34.0,"48.856043,2.323658",PARIS,ILE-DE-FRANCE,4,511
Épicure,Paris,350,395,Modern Cuisine,2.3143664,48.8717289,33153434340.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/epicure,https://www.oetkercollection.com/fr/hotels/le-bristol-paris/restaurants-et-bar/epicure/,3 MICHELIN Stars,75008,"Le Bristol, 112 rue du Faubourg-Saint-Honoré",3.0,3 étoiles,HÔTEL ALISON,21 rue de Surène,Paris,0142655400,hotel.alison@orange.fr,http://www.hotelalison.com,60.0,34.0,"48.871041,2.320259",PARIS,ILE-DE-FRANCE,3,298
Plénitude - Cheval Blanc Paris,Paris,340,415,Creative,2.3421588,48.8588148,33179355011.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/plenitude-cheval-blanc-paris,https://www.chevalblanc.com/en/,3 MICHELIN Stars,75001,8 quai du Louvre,3.0,3 étoiles,HÔTEL LOUVRE BONS ENFANTS,5 rue des bons enfants,Paris,0142614731,info@hotellouvrebonsenfants.com,www.hotellouvrebonsenfants.com,61.0,33.0,"48.862801,2.338203",PARIS,ILE-DE-FRANCE,3,272
Le Cinq,Paris,450,530,Modern Cuisine,2.3008612,48.8687604,33149527154.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/le-cinq6102,https://www.fourseasons.com/paris/dining/restaurants/le_cinq/?seo=google_local_par2_emea,3 MICHELIN Stars,75008,"Four Seasons George V, 31 avenue George-V",3.0,3 étoiles,HÔTEL ALISON,21 rue de Surène,Paris,0142655400,hotel.alison@orange.fr,http://www.hotelalison.com,60.0,34.0,"48.871041,2.320259",PARIS,ILE-DE-FRANCE,3,197
Christopher Coutanceau,La rochelle,210,280,Seafood,-1.1609135,46.1557284,33546414819.0,https://guide.michelin.com/en/nouvelle-aquitaine/la-rochelle/restaurant/christopher-coutanceau,https://www.coutanceaularochelle.com/,3 MICHELIN Stars,17000,Plage de la Concurrence,3.0,2 étoiles,HÔTEL LA MARINE,30 quai Duperré,La rochelle,0546505163,contact@hotel-marine.com,http://www.hotel-marine.com,37.0,13.0,"46.15844,-1.152899",CHARENTE-MARITIME,NOUVELLE-AQUITAINE,2,120
Pic,Valence,350,350,Creative,4.8854965,44.9177848,33475441532.0,https://guide.michelin.com/en/auvergne-rhone-alpes/valence/restaurant/pic,https://anne-sophie-pic.com/,3 MICHELIN Stars,26000,285 avenue Victor-Hugo,3.0,2 étoiles,HÔTEL DE L'EUROPE,15 AVenue FéLIX FAURE,Valence,0475826265,HOTELEUROPEVALENCE@GMAIL.COM,WWW.HOTELEUROPEVALENCE.FR,56.0,26.0,"44.931767,4.895511",DROME,AUVERGNE-RHONE-ALPES,2,134
Kei,Paris,98,385,Modern Cuisine,2.3422847,48.8643947,33142331474.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/kei,https://www.restaurant-kei.fr/,3 MICHELIN Stars,75001,5 rue du Coq-Héron,3.0,3 étoiles,HÔTEL LOUVRE BONS ENFANTS,5 rue des bons enfants,Paris,0142614731,info@hotellouvrebonsenfants.com,www.hotellouvrebonsenfants.com,61.0,33.0,"48.862801,2.338203",PARIS,ILE-DE-FRANCE,3,223
Maison Lameloise,Chagny,85,260,Modern Cuisine,4.7530169,46.9079964,33385876565.0,https://guide.michelin.com/en/bourgogne-franche-comte/chagny/restaurant/maison-lameloise,https://www.lameloise.fr/,3 MICHELIN Stars,71150,36 place d'Armes,3.0,3 étoiles,HÔTEL LE CHAGNY,chemin des petites champagnes,Chagny,0385876767,reservation@hotel-le-chagny.fr,http://www.hotel-bourgogne-lechagny.com/,48.0,20.0,"46.896536,4.760806",SAONE-ET-LOIRE,BOURGOGNE-FRANCHE-COMTE,3,157
